,datetime,text,user,location
80,2020-06-21 09:17:04,@shopDisney I think you mean ‘Baby Yoda Shop.’,YoungListener,
81,2020-06-21 09:11:48,@inamagadavida @shopDisney Have you not seen the child-raping clown that is in office ma’am,JordansAW0lf,Indiana
82,2020-06-21 08:52:48,EXCITING NEWS! 🚨 I can’t believe I’ve only just found out about this. Disney have created lots of FREE activity boo… https://t.co/g2uH1Zzg79,MissEEpstein,
83,2020-06-21 08:06:16,@annihilationed @shopDisney Lmao foh ain’t no one want you here 🤣,alj_x23,"Norwalk, CA"
84,2020-06-21 07:39:30,"Finally 27
Spent my birthday ill in bed most of the day on my birthday yesterday so am celebrating today 😀😀😀❤❤❤… https://t.co/zwFWeE2qdb",CBeauty93,"Colchester, Essex"
85,2020-06-21 07:36:33,Send me pics of cute disney protective masks (excluding the ones on the ShopDisney site I’ve seen those and they’re… https://t.co/InXHY4LChK,disney__tasthic,United States
86,2020-06-21 07:08:23,I need these immediately omg 😍💄💋💃🏻👠🧣⛑🎒🌹🍎🍒🌶🍷🥊🚨🚘⛽️☎️🧲🧨🩸🎈🧧📮📌📍🖍❤️🛑⁉️🔴🔺♦️♥️♦️🚩 https://t.co/b2EkAfPrcw,KathleenAHall,"Alaska, USA /🇻🇦"
87,2020-06-21 06:57:11,@amyyZOMBIEE @RachieSambora @shopDisney did they say why at all?,ggsarahmony,Silvermoon
88,2020-06-21 06:55:46,@shopDisney This shit isn’t even on the site tho,C0ACH_,Gotham 
89,2020-06-21 06:26:10,Why do I want this pizza planet device https://t.co/pzlqajjTrG,CaitlinMarie87,Finding My Soul
90,2020-06-21 06:23:33,Need ? Need https://t.co/rE1v9c2qQ2,michellebernall,Planeta tierra
91,2020-06-21 05:54:26,@shopDisney Not for $150.,TeslaMaestra,United States of America
92,2020-06-21 05:52:34,@shopDisney i got an email on the 16th that i was being credited for the star wars Hoth mug as the item is now out… https://t.co/Z3cnAzJOBS,hdotcast,socal
93,2020-06-21 05:45:06,I really want https://t.co/Im4v9OVKNM,Mirandalove06,Salinas California
94,2020-06-21 05:41:44,Who works at Disney and can hook me up with that Disney store discount 😩 https://t.co/A5FuhqpQWw,92_kherrera,
95,2020-06-21 05:40:22,"Online Disney Shopping, if You've Already Bought out ShopDisney https://t.co/Le3HjGfDzg https://t.co/ybwgSy3rGY",nik_kumbhani,"Ahmadabad City, India"
96,2020-06-21 05:34:51,@MMZen10 @disneyplus @MMZen10 Thank you for your support. I am so happy that you will stop shopping at Disney becau… https://t.co/YexPRAw0PJ,peacefrog67,Reality 
97,2020-06-21 05:33:51,i would crush them with steel boot https://t.co/QAdreZBjpd,khrkyo,
98,2020-06-21 05:29:07,"I need those red ears!!! 

Even though rona probably ruined my Disney trip 😩😩 https://t.co/Z8c3EfNEYd",my_ambiti0n,TN
99,2020-06-21 05:26:21,"#PinRelease

@shopDisney is releasng this limited edition #SelfieDay pin featuring #Minnie and #Mickey in just a fe… https://t.co/B3xHJqWUN7",PopCulturePinCo,
100,2020-06-21 05:02:49,@shopDisney That bracelet is so cute!,ChloeMorello,Los Angeles
101,2020-06-21 04:56:24,@shopDisney And Biden is the other option? We’re in trouble for another 4 years regardless,notascarednegro,From Oakland California
102,2020-06-21 04:54:39,@dheid1 for future reference. ❤️ https://t.co/DpB4Uai8cN,mheidxoxo,"Murrieta, CA"
103,2020-06-21 04:44:16,I need that backpack but in pink https://t.co/Dwv16YYuyj,jassyydoll,
104,2020-06-21 04:44:01,@m0motree @shopDisney Chile lemme nod and smile,LaCasaDeMinaj,
105,2020-06-21 04:38:33,"@shopDisney #shopDisneysupport My order was lost during transit and UPS isn’t willing to help, can I please get some help.",paolanat_,
106,2020-06-21 04:38:32,I have this 🥰 https://t.co/rlTDwmEl4f,laceyannee,
107,2020-06-21 04:26:14,Need 🥵😍 https://t.co/PE7zSn79lj,mamalisaaaa,Bay Area
108,2020-06-21 03:56:50,I want!!! https://t.co/373sgireOF,BBW_Candi,TD GARDENS
109,2020-06-21 03:17:50,GIVE MEEEEEE !!!!!!!! 😱 https://t.co/4OH7MWXnEF,___shyy___,|!*Metropolis¡*| FL 🐊🐉l #772
110,2020-06-21 03:13:32,@shopDisney Where is season 2 please,SyFyRoss,"Kentucky, USA"
111,2020-06-21 03:13:23,@shopDisney When the Lego version looks better then the Disney plush https://t.co/AylncEWSOL,ToaAurora,"Phoenix, AZ"
112,2020-06-21 03:11:29,@shopDisney When they Say The Mandalorian they really just mean Baby Yoda and maybe one T-Shirt for the show.,HeyItsKeegan_,My room duh
113,2020-06-21 02:32:01,@RyneGregory @shopDisney Yeah I’m stretching them out,TibbyVenk,"Lake Buena Vista, FL"
114,2020-06-21 02:27:27,Both my nieces have to have https://t.co/7CpjKaI26X,DraAlea_,"Notre Dame, IN"
115,2020-06-21 01:58:36,"so who's gonna tell Arribas Brothers they have to make a new set of these in pink 

https://t.co/JlBuJddgh6",carlyewisel,head first into a tub of popcorn
116,2020-06-21 01:41:49,"What you did there, I see. https://t.co/v5KWUD1Z6g",Chris_BigK,"Utah, USA"
117,2020-06-21 01:39:20,Ok... I NEED‼️😬 https://t.co/wbWOAdOxhG,slicKEst_,Chicago 
118,2020-06-21 01:18:04,Omg I want thisssss https://t.co/FoTYvricQL,Cassskabob,
119,2020-06-21 01:17:35,I worked on this dress it was one of my favorites 🥺 https://t.co/9gSCKj19Hm,lilliankillian,"Orlando, FL"
120,2020-06-21 01:14:22,"@TibbyVenk @shopDisney My boyfriend got his yesterday, too. We also picked some up at Disney Springs as well. We go… https://t.co/L5z2mDrDj2",RyneGregory,
121,2020-06-21 01:11:12,Sally Dress for Women - The Nightmare Before Christmas | shopDisney | Source: https://t.co/aXz4MAd6Ad #geek… https://t.co/Gpr8TqQCaN,GeekGreedy,
122,2020-06-21 01:05:30,Omg I need this for my baby https://t.co/c23T9GOLeC,___cmarie,
123,2020-06-21 00:48:05,"@AliciaStella The top half says ShopDisney Castle,  the bottom half says Lego Disney Castle 😁 https://t.co/193uYNjnkG",tommyhawkins,London
124,2020-06-21 00:31:07,@shopDisney We need more Prince Hans merch.,KyloElsa,
125,2020-06-21 00:30:37,They wanted $90 for that lil ass bag on the right. I thinks not https://t.co/poCN82KScB,MVYMILF,O-H
